"description","name","id","created_at","updated_at","deleted_at"
"","ABIES CANADENSIS-PINUS CANADENSIS","1","2024-09-30 14:39:28.923084+00","2024-09-30 14:39:28.923084+00",NULL
"","ABIES NIGRA","2","2024-09-30 14:39:28.928753+00","2024-09-30 14:39:28.928753+00",NULL
"","ABRUS PRECATORIUS -","3","2024-09-30 14:39:28.932454+00","2024-09-30 14:39:28.932454+00",NULL
"","ABROTANUM","4","2024-09-30 14:39:28.935897+00","2024-09-30 14:39:28.935897+00",NULL
"","ABSINTHIUM","5","2024-09-30 14:39:28.939582+00","2024-09-30 14:39:28.939582+00",NULL
"","ACALYPHA INDICA","6","2024-09-30 14:39:28.943062+00","2024-09-30 14:39:28.943062+00",NULL
"","ACETICUM","7","2024-09-30 14:39:28.946784+00","2024-09-30 14:39:28.946784+00",NULL
"","ACETANILIDUM","8","2024-09-30 14:39:28.950516+00","2024-09-30 14:39:28.950516+00",NULL
"","ACONITUM NAPELLUS","9","2024-09-30 14:39:28.954062+00","2024-09-30 14:39:28.954062+00",NULL
"","ACTAEA SPICATA","10","2024-09-30 14:39:28.957596+00","2024-09-30 14:39:28.957596+00",NULL
"","ADONIS VERNALIS","11","2024-09-30 14:39:28.961134+00","2024-09-30 14:39:28.961134+00",NULL
"","ADRENALINUM","12","2024-09-30 14:39:28.965068+00","2024-09-30 14:39:28.965068+00",NULL
"","AESCULUS","13","2024-09-30 14:39:28.968983+00","2024-09-30 14:39:28.968983+00",NULL
"","AETHUSA CYNAPIUM","14","2024-09-30 14:39:28.97284+00","2024-09-30 14:39:28.97284+00",NULL
"","AETHIOPS","15","2024-09-30 14:39:28.976817+00","2024-09-30 14:39:28.976817+00",NULL
"","AGARICUS MUSCARIUS","16","2024-09-30 14:39:28.98076+00","2024-09-30 14:39:28.98076+00",NULL
"","AGAVE AMERICANA","17","2024-09-30 14:39:28.984325+00","2024-09-30 14:39:28.984325+00",NULL
"","AGNUS CASTUS","18","2024-09-30 14:39:28.988209+00","2024-09-30 14:39:28.988209+00",NULL
"","AGRAPHIS NUTANS","19","2024-09-30 14:39:28.991697+00","2024-09-30 14:39:28.991697+00",NULL
"","AILANTHUS GLANDULOSA","20","2024-09-30 14:39:28.995269+00","2024-09-30 14:39:28.995269+00",NULL
"","ALETRIS FARINOSA","21","2024-09-30 14:39:28.99882+00","2024-09-30 14:39:28.99882+00",NULL
"","ALFALFA","22","2024-09-30 14:39:29.002261+00","2024-09-30 14:39:29.002261+00",NULL
"","ALLIUM CEPA","23","2024-09-30 14:39:29.005782+00","2024-09-30 14:39:29.005782+00",NULL
"","ALLIUM SATIVUM","24","2024-09-30 14:39:29.00919+00","2024-09-30 14:39:29.00919+00",NULL
"","ALNUS RUBRA (ALNUS)","25","2024-09-30 14:39:29.012835+00","2024-09-30 14:39:29.012835+00",NULL
"","ALOE SOCOTRINA","26","2024-09-30 14:39:29.016769+00","2024-09-30 14:39:29.016769+00",NULL
"","ALSTONIA","27","2024-09-30 14:39:29.020657+00","2024-09-30 14:39:29.020657+00",NULL
"","ALUMINA","28","2024-09-30 14:39:29.024038+00","2024-09-30 14:39:29.024038+00",NULL
"","ALUMINA","29","2024-09-30 14:39:29.027389+00","2024-09-30 14:39:29.027389+00",NULL
"","ALUMEN","30","2024-09-30 14:39:29.03118+00","2024-09-30 14:39:29.03118+00",NULL
"","AMMONIUM","31","2024-09-30 14:39:29.035065+00","2024-09-30 14:39:29.035065+00",NULL
"","AMMONIUM BROMATUM","32","2024-09-30 14:39:29.038488+00","2024-09-30 14:39:29.038488+00",NULL
"","AMMONIUM CARBONICUM","33","2024-09-30 14:39:29.042132+00","2024-09-30 14:39:29.042132+00",NULL
"","AMMONIUM","34","2024-09-30 14:39:29.045628+00","2024-09-30 14:39:29.045628+00",NULL
"","AMMONIUM IODATUM","35","2024-09-30 14:39:29.049178+00","2024-09-30 14:39:29.049178+00",NULL
"","AMMONIUM MURIATICUM","36","2024-09-30 14:39:29.052789+00","2024-09-30 14:39:29.052789+00",NULL
"","AMMONIUM","37","2024-09-30 14:39:29.056281+00","2024-09-30 14:39:29.056281+00",NULL
"","AMMONIUM","38","2024-09-30 14:39:29.059853+00","2024-09-30 14:39:29.059853+00",NULL
"","AMMONIUM","39","2024-09-30 14:39:29.063366+00","2024-09-30 14:39:29.063366+00",NULL
"","AMBRA GRISEA","40","2024-09-30 14:39:29.066864+00","2024-09-30 14:39:29.066864+00",NULL
"","AMBROSIA","41","2024-09-30 14:39:29.070532+00","2024-09-30 14:39:29.070532+00",NULL
"","AMYGDALUS","42","2024-09-30 14:39:29.074229+00","2024-09-30 14:39:29.074229+00",NULL
"","AMYLENUM","43","2024-09-30 14:39:29.077679+00","2024-09-30 14:39:29.077679+00",NULL
"","AMMONIACUM GUMMI","44","2024-09-30 14:39:29.08074+00","2024-09-30 14:39:29.08074+00",NULL
"","AMPELOPSIS","45","2024-09-30 14:39:29.084036+00","2024-09-30 14:39:29.084036+00",NULL
"","ANACARDIUM","46","2024-09-30 14:39:29.087163+00","2024-09-30 14:39:29.087163+00",NULL
"","ANAGALLIS ARVENSIS","47","2024-09-30 14:39:29.08986+00","2024-09-30 14:39:29.08986+00",NULL
"","ANANTHERUM","48","2024-09-30 14:39:29.092687+00","2024-09-30 14:39:29.092687+00",NULL
"","ANEMOPSIS","49","2024-09-30 14:39:29.095232+00","2024-09-30 14:39:29.095232+00",NULL
"","ANGUSTURA VERA","50","2024-09-30 14:39:29.097869+00","2024-09-30 14:39:29.097869+00",NULL
"","ANHALONIUM LEWINII","51","2024-09-30 14:39:29.100356+00","2024-09-30 14:39:29.100356+00",NULL
"","ANILINUM","52","2024-09-30 14:39:29.102799+00","2024-09-30 14:39:29.102799+00",NULL
"","ANISUM STELLATUM","53","2024-09-30 14:39:29.105241+00","2024-09-30 14:39:29.105241+00",NULL
"","ANTIMONIUM","54","2024-09-30 14:39:29.107485+00","2024-09-30 14:39:29.107485+00",NULL
"","ANTIMONIUM CRUDUM","55","2024-09-30 14:39:29.109912+00","2024-09-30 14:39:29.109912+00",NULL
"","ANTIMONIUM","56","2024-09-30 14:39:29.112423+00","2024-09-30 14:39:29.112423+00",NULL
"","ANTIMONIUM","57","2024-09-30 14:39:29.115172+00","2024-09-30 14:39:29.115172+00",NULL
"","ANTHEMIS NOBILIS","58","2024-09-30 14:39:29.117661+00","2024-09-30 14:39:29.117661+00",NULL
"","ANTHRACINUM","59","2024-09-30 14:39:29.120176+00","2024-09-30 14:39:29.120176+00",NULL
"","ANTHRACOKALI (ANTHRAKOKALI)","60","2024-09-30 14:39:29.123436+00","2024-09-30 14:39:29.123436+00",NULL
"","ANTIPYRINUM","61","2024-09-30 14:39:29.127138+00","2024-09-30 14:39:29.127138+00",NULL
"","APIUM GRAVEOLENS","62","2024-09-30 14:39:29.131494+00","2024-09-30 14:39:29.131494+00",NULL
"","APHIS CHENOPODII","63","2024-09-30 14:39:29.134705+00","2024-09-30 14:39:29.134705+00",NULL
"","APIS MELLIFICA","64","2024-09-30 14:39:29.138225+00","2024-09-30 14:39:29.138225+00",NULL
"","APOCYNUM CANNABINUM","65","2024-09-30 14:39:29.141724+00","2024-09-30 14:39:29.141724+00",NULL
"","APOCYNUM","66","2024-09-30 14:39:29.14518+00","2024-09-30 14:39:29.14518+00",NULL
"","APOMORPHINUM","67","2024-09-30 14:39:29.148668+00","2024-09-30 14:39:29.148668+00",NULL
"","AQUILEGIA VULGARIS","68","2024-09-30 14:39:29.152039+00","2024-09-30 14:39:29.152039+00",NULL
"","ARAGALLUS LAMBERTI","69","2024-09-30 14:39:29.155497+00","2024-09-30 14:39:29.155497+00",NULL
"","ARALIA RACEMOSA","70","2024-09-30 14:39:29.159075+00","2024-09-30 14:39:29.159075+00",NULL
"","ARANEA DIADEMA","71","2024-09-30 14:39:29.162865+00","2024-09-30 14:39:29.162865+00",NULL
"","ARBUTUS ANDRACHNE","72","2024-09-30 14:39:29.166325+00","2024-09-30 14:39:29.166325+00",NULL
"","ARECA CATECHU","73","2024-09-30 14:39:29.169813+00","2024-09-30 14:39:29.169813+00",NULL
